,mutual_information
vitamin_d_percent_rda,0.750640675723206
bone_health_mean,0.5059855381362199
vitamin_b12_percent_rda,0.428850695726366
nutrient_min,0.4222182443243758
nutrient_mean,0.3999409484717287
sun_d_interaction,0.37448677734309177
symptom_neuro_score,0.3689313396139844
fat_soluble_mean,0.3266357881208348
blood_health_mean,0.2959154118246037
income_diet_interaction,0.27751783862115253
diet_type,0.21784700739332408
numbness_tingling,0.1825363584149695
symptom_energy_score,0.18221898467161246
iron_percent_rda,0.17153309308198406
bone_pain,0.168601003739131
memory_problems,0.145961892548093
muscle_weakness,0.13779398384663488
income_level,0.13735045288727532
calcium_percent_rda,0.11562269872642794
vitamin_c_percent_rda,0.07849622409843349
vitamin_e_percent_rda,0.07022660595049768
sun_exposure,0.05243078206588958
folate_percent_rda,0.051192284110521236
fatigue,0.05065581529777763
vitamin_a_percent_rda,0.049096520589112735
exercise_level,0.019124136737011632
alcohol_consumption,0.018149505694445178
smoking_status,0.01732625261721621
bmi,0.012463857776844556
age,0.01205867191343657
latitude_region,0.006201547690069642
pale_skin,0.0034690349071180293
dry_skin,0.0027205036879531797
symptom_skin_score,0.001392867049813118
bleeding_gums,0.0
gender,0.0
night_blindness,0.0
lifestyle_risk_score,0.0
bmi_age_interaction,0.0
