feature,q1,q3,iqr,lower_bound,upper_bound,outlier_count,outlier_ratio
pale_skin,0.0,0.0,0.0,0.0,0.0,441,0.1575
symptom_skin_score,0.0,0.0,0.0,0.0,0.0,422,0.15071428571428572
night_blindness,0.0,0.0,0.0,0.0,0.0,290,0.10357142857142858
dry_skin,0.0,0.0,0.0,0.0,0.0,201,0.07178571428571429
symptom_energy_score,0.0,1.0,1.0,-1.5,2.5,162,0.05785714285714286
bleeding_gums,0.0,0.0,0.0,0.0,0.0,120,0.04285714285714286
sun_d_interaction,0.0,135.22500000000002,135.22500000000002,-202.83750000000003,338.06250000000006,86,0.030714285714285715
vitamin_d_percent_rda,40.74,94.9225,54.1825,-40.53374999999999,176.19625,82,0.029285714285714286
bone_health_mean,52.1,98.4,46.300000000000004,-17.35,167.85000000000002,50,0.017857142857142856
iron_percent_rda,52.1,95.9,43.800000000000004,-13.600000000000001,161.60000000000002,45,0.01607142857142857
vitamin_b12_percent_rda,32.6,84.8,52.199999999999996,-45.699999999999996,163.1,44,0.015714285714285715
vitamin_c_percent_rda,60.5,111.025,50.525000000000006,-15.287500000000009,186.8125,31,0.01107142857142857
calcium_percent_rda,55.575,105.5,49.925,-19.312499999999986,180.3875,29,0.010357142857142856
nutrient_min,24.8,53.769999999999996,28.969999999999995,-18.65499999999999,97.225,29,0.010357142857142856
folate_percent_rda,62.175000000000004,114.42500000000001,52.25000000000001,-16.20000000000001,192.8,26,0.009285714285714286
vitamin_e_percent_rda,61.9,114.525,52.62500000000001,-17.037500000000016,193.46250000000003,19,0.0067857142857142855
vitamin_a_percent_rda,62.3,114.92500000000001,52.625000000000014,-16.63750000000003,193.86250000000004,16,0.005714285714285714
fat_soluble_mean,60.571666666666665,104.23166666666665,43.65999999999999,-4.918333333333315,169.72166666666664,16,0.005714285714285714
blood_health_mean,54.85,94.38333333333334,39.53333333333334,-4.45000000000001,153.68333333333334,12,0.004285714285714286
bmi,22.7,29.4,6.699999999999999,12.65,39.449999999999996,10,0.0035714285714285713
bmi_age_interaction,846.3,1734.4499999999998,888.1499999999999,-485.92499999999995,3066.6749999999997,10,0.0035714285714285713
age,34.0,67.0,33.0,-15.5,116.5,0,0.0
gender,0.0,1.0,1.0,-1.5,2.5,0,0.0
smoking_status,0.0,2.0,2.0,-3.0,5.0,0,0.0
alcohol_consumption,0.0,2.0,2.0,-3.0,5.0,0,0.0
exercise_level,0.0,3.0,3.0,-4.5,7.5,0,0.0
diet_type,0.0,2.0,2.0,-3.0,5.0,0,0.0
sun_exposure,0.0,2.0,2.0,-3.0,5.0,0,0.0
income_level,0.0,2.0,2.0,-3.0,5.0,0,0.0
latitude_region,0.0,2.0,2.0,-3.0,5.0,0,0.0
memory_problems,0.0,1.0,1.0,-1.5,2.5,0,0.0
numbness_tingling,0.0,1.0,1.0,-1.5,2.5,0,0.0
bone_pain,0.0,1.0,1.0,-1.5,2.5,0,0.0
fatigue,0.0,1.0,1.0,-1.5,2.5,0,0.0
muscle_weakness,0.0,1.0,1.0,-1.5,2.5,0,0.0
symptom_neuro_score,0.0,2.0,2.0,-3.0,5.0,0,0.0
nutrient_mean,59.188125,100.97625,41.788124999999994,-3.494062499999991,163.6584375,0,0.0
lifestyle_risk_score,-1.0,2.0,3.0,-5.5,6.5,0,0.0
income_diet_interaction,0.0,3.0,3.0,-4.5,7.5,0,0.0
